run, program, qubits, run time, number_of_transformations
0, var_q2_00_R, 2, 0.35341548919677734, 3
1, var_q2_00_R, 2, 0.021636486053466797, 3
2, var_q2_00_R, 2, 0.021490812301635742, 3
3, var_q2_00_R, 2, 0.021166324615478516, 3
4, var_q2_00_R, 2, 0.02155280113220215, 3
5, var_q2_00_R, 2, 0.02130603790283203, 3
6, var_q2_00_R, 2, 0.02099895477294922, 3
7, var_q2_00_R, 2, 0.021028757095336914, 3
8, var_q2_00_R, 2, 0.020693540573120117, 3
9, var_q2_00_R, 2, 0.02095770835876465, 3
10, var_q2_00_R, 2, 0.020908117294311523, 3
11, var_q2_00_R, 2, 0.020471811294555664, 3
12, var_q2_00_R, 2, 0.020976781845092773, 3
13, var_q2_00_R, 2, 0.02100348472595215, 3
14, var_q2_00_R, 2, 0.02085113525390625, 3
15, var_q2_00_R, 2, 0.02085280418395996, 3
16, var_q2_00_R, 2, 0.020782470703125, 3
17, var_q2_00_R, 2, 0.021060705184936523, 3
18, var_q2_00_R, 2, 0.02063608169555664, 3
19, var_q2_00_R, 2, 0.02119755744934082, 3
20, var_q2_00_R, 2, 0.021145343780517578, 3
21, var_q2_00_R, 2, 0.02048182487487793, 3
22, var_q2_00_R, 2, 0.023986101150512695, 3
23, var_q2_00_R, 2, 0.021468162536621094, 3
24, var_q2_00_R, 2, 0.021274566650390625, 3
25, var_q2_00_R, 2, 0.021119117736816406, 3
26, var_q2_00_R, 2, 0.021070480346679688, 3
27, var_q2_00_R, 2, 0.02095961570739746, 3
28, var_q2_00_R, 2, 0.020833492279052734, 3
29, var_q2_00_R, 2, 0.020691633224487305, 3
30, var_q2_00_R, 2, 0.020517587661743164, 3
31, var_q2_00_R, 2, 0.020592451095581055, 3
32, var_q2_00_R, 2, 0.021225452423095703, 3
33, var_q2_00_R, 2, 0.020874500274658203, 3
34, var_q2_00_R, 2, 0.02057337760925293, 3
35, var_q2_00_R, 2, 0.020638227462768555, 3
36, var_q2_00_R, 2, 0.021093368530273438, 3
37, var_q2_00_R, 2, 0.02135920524597168, 3
38, var_q2_00_R, 2, 0.020919084548950195, 3
39, var_q2_00_R, 2, 0.021130084991455078, 3
40, var_q2_00_R, 2, 0.020903348922729492, 3
41, var_q2_00_R, 2, 0.020961284637451172, 3
42, var_q2_00_R, 2, 0.020705699920654297, 3
43, var_q2_00_R, 2, 0.020427703857421875, 3
44, var_q2_00_R, 2, 0.020880699157714844, 3
45, var_q2_00_R, 2, 0.020773649215698242, 3
46, var_q2_00_R, 2, 0.021071910858154297, 3
47, var_q2_00_R, 2, 0.020952939987182617, 3
48, var_q2_00_R, 2, 0.020591259002685547, 3
49, var_q2_00_R, 2, 0.02162766456604004, 3
50, var_q2_00_R, 2, 0.021622896194458008, 3
51, var_q2_00_R, 2, 0.021396398544311523, 3
52, var_q2_00_R, 2, 0.020876646041870117, 3
53, var_q2_00_R, 2, 0.021167755126953125, 3
54, var_q2_00_R, 2, 0.0209352970123291, 3
55, var_q2_00_R, 2, 0.020600318908691406, 3
56, var_q2_00_R, 2, 0.020650148391723633, 3
57, var_q2_00_R, 2, 0.020817279815673828, 3
58, var_q2_00_R, 2, 0.02182912826538086, 3
59, var_q2_00_R, 2, 0.02075505256652832, 3
60, var_q2_00_R, 2, 0.02118992805480957, 3
61, var_q2_00_R, 2, 0.02147650718688965, 3
62, var_q2_00_R, 2, 0.02099013328552246, 3
63, var_q2_00_R, 2, 0.020953893661499023, 3
64, var_q2_00_R, 2, 0.020976543426513672, 3
65, var_q2_00_R, 2, 0.020845651626586914, 3
66, var_q2_00_R, 2, 0.021045207977294922, 3
67, var_q2_00_R, 2, 0.02123284339904785, 3
68, var_q2_00_R, 2, 0.021163225173950195, 3
69, var_q2_00_R, 2, 0.020716190338134766, 3
70, var_q2_00_R, 2, 0.020986318588256836, 3
71, var_q2_00_R, 2, 0.02118229866027832, 3
72, var_q2_00_R, 2, 0.021423816680908203, 3
73, var_q2_00_R, 2, 0.021595478057861328, 3
74, var_q2_00_R, 2, 0.021361589431762695, 3
75, var_q2_00_R, 2, 0.020791292190551758, 3
76, var_q2_00_R, 2, 0.020963191986083984, 3
77, var_q2_00_R, 2, 0.02054905891418457, 3
78, var_q2_00_R, 2, 0.020769596099853516, 3
79, var_q2_00_R, 2, 0.021245241165161133, 3
80, var_q2_00_R, 2, 0.02158045768737793, 3
81, var_q2_00_R, 2, 0.020794153213500977, 3
82, var_q2_00_R, 2, 0.021384716033935547, 3
83, var_q2_00_R, 2, 0.020906925201416016, 3
84, var_q2_00_R, 2, 0.020875215530395508, 3
85, var_q2_00_R, 2, 0.020563602447509766, 3
86, var_q2_00_R, 2, 0.020972490310668945, 3
87, var_q2_00_R, 2, 0.0209805965423584, 3
88, var_q2_00_R, 2, 0.0208282470703125, 3
89, var_q2_00_R, 2, 0.021604061126708984, 3
90, var_q2_00_R, 2, 0.02112603187561035, 3
91, var_q2_00_R, 2, 0.02098393440246582, 3
92, var_q2_00_R, 2, 0.02096700668334961, 3
93, var_q2_00_R, 2, 0.020961999893188477, 3
94, var_q2_00_R, 2, 0.021042585372924805, 3
95, var_q2_00_R, 2, 0.021218061447143555, 3
96, var_q2_00_R, 2, 0.020824193954467773, 3
97, var_q2_00_R, 2, 0.02089691162109375, 3
98, var_q2_00_R, 2, 0.021027803421020508, 3
99, var_q2_00_R, 2, 0.024939775466918945, 3
0, var_q2_01_R, 2, 0.049155235290527344, 3
1, var_q2_01_R, 2, 0.02128005027770996, 3
2, var_q2_01_R, 2, 0.021492719650268555, 3
3, var_q2_01_R, 2, 0.021192550659179688, 3
4, var_q2_01_R, 2, 0.021013259887695312, 3
