run, program, basis, Nps_init, Nps_final, reduction
0, var_q2_00_R, i,h, 4, 3.0, 0.75
1, var_q2_00_R, i,h, 4, 3.0, 0.75
2, var_q2_00_R, i,h, 4, 3.0, 0.75
3, var_q2_00_R, h,i, 4, 3.0, 0.75
4, var_q2_00_R, i,h, 4, 3.0, 0.75
5, var_q2_00_R, i,h, 4, 3.0, 0.75
6, var_q2_00_R, h,i, 4, 3.0, 0.75
7, var_q2_00_R, i,h, 4, 3.0, 0.75
8, var_q2_00_R, i,h, 4, 3.0, 0.75
9, var_q2_00_R, i,h, 4, 3.0, 0.75
10, var_q2_00_R, i,h, 4, 3.0, 0.75
11, var_q2_00_R, h,i, 4, 3.0, 0.75
12, var_q2_00_R, h,i, 4, 3.0, 0.75
13, var_q2_00_R, i,h, 4, 3.0, 0.75
14, var_q2_00_R, i,h, 4, 3.0, 0.75
15, var_q2_00_R, i,h, 4, 3.0, 0.75
16, var_q2_00_R, i,h, 4, 3.0, 0.75
17, var_q2_00_R, i,h, 4, 3.0, 0.75
18, var_q2_00_R, i,h, 4, 3.0, 0.75
19, var_q2_00_R, i,h, 4, 3.0, 0.75
20, var_q2_00_R, i,h, 4, 3.0, 0.75
21, var_q2_00_R, i,h, 4, 3.0, 0.75
22, var_q2_00_R, h,i, 4, 3.0, 0.75
23, var_q2_00_R, i,h, 4, 3.0, 0.75
24, var_q2_00_R, h,i, 4, 3.0, 0.75
25, var_q2_00_R, i,h, 4, 3.0, 0.75
26, var_q2_00_R, i,h, 4, 3.0, 0.75
27, var_q2_00_R, h,i, 4, 3.0, 0.75
28, var_q2_00_R, i,h, 4, 3.0, 0.75
29, var_q2_00_R, i,h, 4, 3.0, 0.75
30, var_q2_00_R, i,h, 4, 3.0, 0.75
31, var_q2_00_R, h,i, 4, 3.0, 0.75
32, var_q2_00_R, h,i, 4, 3.0, 0.75
33, var_q2_00_R, h,i, 4, 3.0, 0.75
34, var_q2_00_R, i,h, 4, 3.0, 0.75
35, var_q2_00_R, i,h, 4, 3.0, 0.75
36, var_q2_00_R, h,i, 4, 3.0, 0.75
37, var_q2_00_R, h,i, 4, 3.0, 0.75
38, var_q2_00_R, i,h, 4, 3.0, 0.75
39, var_q2_00_R, h,i, 4, 3.0, 0.75
40, var_q2_00_R, i,h, 4, 3.0, 0.75
41, var_q2_00_R, h,i, 4, 3.0, 0.75
42, var_q2_00_R, h,i, 4, 3.0, 0.75
43, var_q2_00_R, h,i, 4, 3.0, 0.75
44, var_q2_00_R, i,h, 4, 3.0, 0.75
45, var_q2_00_R, i,h, 4, 3.0, 0.75
46, var_q2_00_R, i,h, 4, 3.0, 0.75
47, var_q2_00_R, i,h, 4, 3.0, 0.75
48, var_q2_00_R, i,h, 4, 3.0, 0.75
49, var_q2_00_R, h,i, 4, 3.0, 0.75
50, var_q2_00_R, i,h, 4, 3.0, 0.75
51, var_q2_00_R, i,h, 4, 3.0, 0.75
52, var_q2_00_R, h,i, 4, 3.0, 0.75
53, var_q2_00_R, h,i, 4, 3.0, 0.75
54, var_q2_00_R, i,h, 4, 3.0, 0.75
55, var_q2_00_R, h,i, 4, 3.0, 0.75
56, var_q2_00_R, i,h, 4, 3.0, 0.75
57, var_q2_00_R, i,h, 4, 3.0, 0.75
58, var_q2_00_R, h,i, 4, 3.0, 0.75
59, var_q2_00_R, i,h, 4, 3.0, 0.75
60, var_q2_00_R, i,h, 4, 3.0, 0.75
61, var_q2_00_R, i,h, 4, 3.0, 0.75
62, var_q2_00_R, h,i, 4, 3.0, 0.75
63, var_q2_00_R, i,h, 4, 3.0, 0.75
