run, program, qubits, run time, number_of_transformations
0, var_q2_00_R, 2, 0.2752046585083008, 3
1, var_q2_00_R, 2, 0.02105116844177246, 3
2, var_q2_00_R, 2, 0.02048182487487793, 3
3, var_q2_00_R, 2, 0.020862579345703125, 3
4, var_q2_00_R, 2, 0.020133018493652344, 3
5, var_q2_00_R, 2, 0.020487308502197266, 3
6, var_q2_00_R, 2, 0.020188331604003906, 3
7, var_q2_00_R, 2, 0.02004241943359375, 3
8, var_q2_00_R, 2, 0.020006895065307617, 3
9, var_q2_00_R, 2, 0.01984572410583496, 3
10, var_q2_00_R, 2, 0.01995062828063965, 3
11, var_q2_00_R, 2, 0.020138978958129883, 3
12, var_q2_00_R, 2, 0.02038264274597168, 3
13, var_q2_00_R, 2, 0.01995062828063965, 3
14, var_q2_00_R, 2, 0.02047586441040039, 3
15, var_q2_00_R, 2, 0.02022099494934082, 3
16, var_q2_00_R, 2, 0.019479990005493164, 3
17, var_q2_00_R, 2, 0.023797988891601562, 3
18, var_q2_00_R, 2, 0.020132064819335938, 3
19, var_q2_00_R, 2, 0.02013564109802246, 3
20, var_q2_00_R, 2, 0.02026534080505371, 3
21, var_q2_00_R, 2, 0.020014286041259766, 3
22, var_q2_00_R, 2, 0.020090341567993164, 3
23, var_q2_00_R, 2, 0.019970178604125977, 3
24, var_q2_00_R, 2, 0.01992344856262207, 3
25, var_q2_00_R, 2, 0.020058870315551758, 3
26, var_q2_00_R, 2, 0.019893884658813477, 3
27, var_q2_00_R, 2, 0.02020549774169922, 3
28, var_q2_00_R, 2, 0.020610809326171875, 3
29, var_q2_00_R, 2, 0.01964592933654785, 3
30, var_q2_00_R, 2, 0.020313739776611328, 3
31, var_q2_00_R, 2, 0.019754409790039062, 3
32, var_q2_00_R, 2, 0.020093202590942383, 3
33, var_q2_00_R, 2, 0.01952052116394043, 3
34, var_q2_00_R, 2, 0.019972562789916992, 3
35, var_q2_00_R, 2, 0.0202484130859375, 3
36, var_q2_00_R, 2, 0.02008652687072754, 3
37, var_q2_00_R, 2, 0.01986098289489746, 3
38, var_q2_00_R, 2, 0.020322084426879883, 3
39, var_q2_00_R, 2, 0.020036935806274414, 3
40, var_q2_00_R, 2, 0.019774913787841797, 3
41, var_q2_00_R, 2, 0.02033233642578125, 3
42, var_q2_00_R, 2, 0.020189762115478516, 3
43, var_q2_00_R, 2, 0.019895553588867188, 3
44, var_q2_00_R, 2, 0.020855188369750977, 3
45, var_q2_00_R, 2, 0.019805192947387695, 3
46, var_q2_00_R, 2, 0.01980113983154297, 3
47, var_q2_00_R, 2, 0.01956343650817871, 3
48, var_q2_00_R, 2, 0.02020263671875, 3
49, var_q2_00_R, 2, 0.01977372169494629, 3
50, var_q2_00_R, 2, 0.020162343978881836, 3
51, var_q2_00_R, 2, 0.020745515823364258, 3
52, var_q2_00_R, 2, 0.019740581512451172, 3
53, var_q2_00_R, 2, 0.019901275634765625, 3
54, var_q2_00_R, 2, 0.02005624771118164, 3
55, var_q2_00_R, 2, 0.020129680633544922, 3
56, var_q2_00_R, 2, 0.020197629928588867, 3
57, var_q2_00_R, 2, 0.019971609115600586, 3
58, var_q2_00_R, 2, 0.020406007766723633, 3
59, var_q2_00_R, 2, 0.0200350284576416, 3
